pfp;block;year;quart;screen;tile;category;fact;plan;fact_prev;mera;color1;proc1;text1;color2;proc2;text2;color3;color4;val4;
Факт;все;42017;42017;Численность;Структура персонала;До 9 грейда;176.7;;;;;;;;;;;;;
Факт;все;42017;42017;Численность;Структура персонала;10-13 грейды;35.3;;;;;;;;;;;;;
Факт;все;42017;42017;Численность;Структура персонала;13-15 грейды;16.5;;;;;;;;;;;;;
Факт;все;42017;42017;Численность;Структура персонала;Грейды от 16 +;7.0;;;;;;;;;;;;;
Факт;все;12018;12018;Численность;Структура персонала;До 9 грейда;174.1;;;;;;;;;;;;;
Факт;все;12018;12018;Численность;Структура персонала;10-13 грейды;34.8;;;;;;;;;;;;;
Факт;все;12018;12018;Численность;Структура персонала;13-15 грейды;16.2;;;;;;;;;;;;;
Факт;все;12018;12018;Численность;Структура персонала;Грейды от 16 +;6.9;;;;;;;;;;;;;
Факт;КБ;42017;42017;Численность;Структура персонала;До 9 грейда;15.1;;;;;;;;;;;;;
Факт;КБ;42017;42017;Численность;Структура персонала;10-13 грейды;3.0;;;;;;;;;;;;;
Факт;КБ;42017;42017;Численность;Структура персонала;13-15 грейды;1.4;;;;;;;;;;;;;
Факт;КБ;42017;42017;Численность;Структура персонала;Грейды от 16 +;0.6;;;;;;;;;;;;;
Факт;КБ;12018;12018;Численность;Структура персонала;До 9 грейда;15.5;;;;;;;;;;;;;
Факт;КБ;12018;12018;Численность;Структура персонала;10-13 грейды;3.1;;;;;;;;;;;;;
Факт;КБ;12018;12018;Численность;Структура персонала;13-15 грейды;1.4;;;;;;;;;;;;;
Факт;КБ;12018;12018;Численность;Структура персонала;Грейды от 16 +;0.6;;;;;;;;;;;;;
