pfp;block;year;quart;tile;category;fact;plan;mera;arrow1;color1;proc1;text1;arrow2;color2;proc2;text2
Факт;все;12018;12018;CIR;;31.5;;%;down;green;2.2%;к 2017г.;down;green;14.6%;к плану
Факт;все;42018;42018;CIR;;34;;%;down;green;2.6%;к 2017г.;down;green;2.3%;к плану
Факт;все;42018;42018;OPEX;;692.1;;млрд. руб.;up;red;3%;к номин.;;;н/д;к реал.
Факт;все;12018;12018;OPEX;;153;;млрд. руб.;up;red;2%;к номин.;up;red;2%;к реал.
Факт;все;42018;42018;CAPEX;;152.4;;млрд. руб.;up;red;8.2%;к 2017г.;up;red;5.5%;к плану
Факт;все;12018;12018;CAPEX;;19;;млрд. руб.;up;red;40%;к 2017г.;down;green;50%;к плану
Факт;все;42018;42018;Численность;;263;;тыс.чел.;down;green;3.8%;к 2017г.;;;0%;к плану
Факт;все;12018;12018;Численность;;270;;тыс. чел.;up;red;7.8%;к 2017г.;up;red;2.2%;к плану
Факт;все;42018;42018;Категории расходов;Персонал;328.8;+1.5%;;;;;;;;;
Факт;все;42018;42018;Категории расходов;Недвижимость;50.8;-3.3%;;;;;;;;;
Факт;все;42018;42018;Категории расходов;ИТ;43.3;-32.3%;;;;;;;;;
Факт;все;42018;42018;Категории расходов;Бизнес;25;-22.4%;;;;;;;;;
Факт;все;42018;42018;Категории расходов;Налоги;25.7;-4.7%;;;;;;;;;
Факт;все;42018;42018;Категории расходов;Прочее;81.8;82.8%;;;;;;;;;
Факт;все;42018;42018;Категории расходов ДЗО;Дочерние банки SBI;89.8;+7.6%;;;;;;;;;
Факт;все;42018;42018;Категории расходов ДЗО;Цифровой бизнес;2.9;+197.3%;;;;;;;;;
Факт;все;42018;42018;Категории расходов ДЗО;Прочее;43.9;+11.2%;;;;;;;;;
Факт;все;12018;12018;Категории расходов;Персонал;84.7;+10.3%;;;;;;;;;
Факт;все;12018;12018;Категории расходов;Недвижимость;11.2;-1.8%;;;;;;;;;
Факт;все;12018;12018;Категории расходов;ИТ;10.4;+0.9%;;;;;;;;;
Факт;все;12018;12018;Категории расходов;Бизнес;5.1;+7.1%;;;;;;;;;
Факт;все;12018;12018;Категории расходов;Налоги;3.7;-1.5%;;;;;;;;;
Факт;все;12018;12018;Категории расходов;Прочее;6;-3.3%;;;;;;;;;
Факт;все;12018;12018;Категории расходов ДЗО;Дочерние банки SBI;20.9;+2.8%;;;;;;;;;
Факт;все;12018;12018;Категории расходов ДЗО;Цифровой бизнес;0.4;-;;;;;;;;;
Факт;все;12018;12018;Категории расходов ДЗО;Прочее;10.6;-9.9%;;;;;;;;;
Факт;все;12018;12018;ФОКУС;Сокращение расходов на недвижимость;-3;;;;;;focus_fact0;;;;%
Факт;все;12018;12018;ФОКУС;Экономия от PUSH-уведомлений;600;;млн. руб.;;;;focus_fact1;;;;
Факт;все;12018;12018;ФОКУС;Рост заездов ЦУНДО и сохранение парка УС;+17;;;;;;focus_fact2;;;;%
Факт;все;12018;12018;ФОКУС;Рост расходов на персонал;+5;;;;;;focus_fact3;;;;%
Факт;все;12018;12018;ФОКУС;Выполнение КПЭ по ограничению оплаты труда;2;;блока;;;;focus_fact4;;;;
Факт;все;42018;42018;ФОКУС;Сокращение RUN-расходов на ИТ и Operations ;-1.5;;млрд .руб;;;;focus_prognoz0;;;;
Факт;все;42018;42018;ФОКУС;Снижение стоимости приведнной транзакции;-16;;;;;;focus_prognoz1;;;;%
Факт;все;42018;42018;ФОКУС;Снижение расходов на недвижимость;-0.2;;млрд .руб;;;;focus_prognoz2;;;;
Факт;все;42018;42018;ФОКУС;Рост расходов на персонал;+6.3;;млрд .руб;;;;focus_prognoz3;;;;
Факт;все;42018;42018;ФОКУС;Рост расходов на ИТ;+15.7;;млрд .руб;;;;focus_prognoz4;;;;
Факт;все;42018;42018;ФОКУС;Рост расходов на маркетинг;+1.2;;млрд .руб;;;;focus_prognoz5;;;;
Факт;КБ;12018;12018;CIR;;23.8;;%;down;green;13.8%;к 2017г.;down;green;8.4%;к плану
Факт;КБ;42018;42018;CIR;;24.9;;%;down;green;2.7%;к 2017г.;down;green;0.9%;к плану
Факт;КБ;42018;42018;OPEX;;46.7;;млрд. руб.;up;red;6%;к номин.;;;н/д;к реал.
