pfp;block;year;quart;tile;category;fact;plan;mera;arrow1;color1;proc1;text1;arrow2;color2;proc2;text2
Факт;все;12018;12018;CIR;;31.5;;%;down;green;2.2%;к 2017г.;down;green;14.6%;к плану
Факт;все;42017;42017;CIR;;34.9;;%;;;н/д ;;;;0%;к плану
Факт;все;42017;42017;OPEX;;668.6;;млрд. руб.;up;red;1.1%;к номин.;;;н/д;
Факт;все;12018;12018;OPEX;;153.1;;млрд. руб.;up;red;2%;к номин.;up;red;2%;к реал.
Факт;все;42017;42017;CAPEX;;140.8;;млрд. руб.;;;н/д ;;down;green;15.8%;к плану
Факт;все;12018;12018;CAPEX;;19;;млрд. руб.;up;red;40%;к 2017г.;down;green;50%;к плану
Факт;все;42017;42017;Численность;;247.1;;тыс. чел.;;;н/д;;down;green;3.1%;к плану
Факт;все;12018;12018;Численность;;270;;тыс. чел.;up;red;7.8%;к 2017г.;up;red;2.2%;к плану
Факт;все;42017;42017;Категории расходов;Персонал;324.1;н/д;;;;;;;;;
Факт;все;42017;42017;Категории расходов;Недвижимость;52.6;н/д;;;;;;;;;
Факт;все;42017;42017;Категории расходов;ИТ;64;н/д;;;;;;;;;
Факт;все;42017;42017;Категории расходов;Бизнес;32.3;н/д;;;;;;;;;
Факт;все;42017;42017;Категории расходов;Налоги;27;н/д;;;;;;;;;
Факт;все;42017;42017;Категории расходов;Прочее;44.7;н/д;;;;;;;;;
Факт;все;12018;12018;Категории расходов;Персонал;84.7;+10.3%;;;;;;;;;
Факт;все;12018;12018;Категории расходов;Недвижимость;11.2;-1.8%;;;;;;;;;
Факт;все;12018;12018;Категории расходов;ИТ;10.4;+0.9%;;;;;;;;;
Факт;все;12018;12018;Категории расходов;Бизнес;5.1;+7.1%;;;;;;;;;
Факт;все;12018;12018;Категории расходов;Налоги;3.7;-1.5%;;;;;;;;;
Факт;все;12018;12018;Категории расходов;Прочее;6.1;-3.3%;;;;;;;;;
Факт;все;12018;12018;ФОКУС;Сокращение расходов на недвижимость;-3;;;;;;;;;;%
Факт;все;12018;12018;ФОКУС;Экономия от PUSH-уведомлений;600;;млн. руб.;;;;;;;;
Факт;все;12018;12018;ФОКУС;Рост заездов ЦУНДО и сохранение парка УС;+17;;;;;;;;;;%
Факт;все;12018;12018;ФОКУС;Рост расходы на персонал;+5;;;;;;;;;;%
Факт;все;12018;12018;ФОКУС;Выполнение КПЭ по ограничению оплаты труда;2;;блока;;;;;;;;
Факт;все;42017;42017;ФОКУС;Сокращение расходов на недвижимость;н/д;;;;;;;;;;
Факт;все;42017;42017;ФОКУС;Экономия от PUSH-уведомлений;н/д;;;;;;;;;;
Факт;все;42017;42017;ФОКУС;Рост заездов ЦУНДО и сохранение парка УС;н/д;;;;;;;;;;
Факт;все;42017;42017;ФОКУС;Рост расходы на персонал;н/д;;;;;;;;;;
Факт;все;42017;42017;ФОКУС;Выполнение КПЭ по ограничению оплаты труда;н/д;;;;;;;;;;
Факт;КБ;12018;12018;CIR;;23.8;;%;down;green;13.8%;к 2017г.;down;green;8.4%;к плану
Факт;КБ;42017;42017;CIR;;27.6;;%;;;-;нет данных за период;;;-;нет данных за период
Факт;КБ;42017;42017;OPEX;;43;;млрд. руб.;;;-;нет данных за период;up;red;10%;к плану
Факт;КБ;12018;12018;OPEX;;11.1;;млрд. руб.;up;red;12%;к номин.;;;-;нет данных за период
Факт;КБ;42017;42017;CAPEX;;н/д;;млрд. руб.;;;-;нет данных за период;;;-;нет данных за период
Факт;КБ;12018;12018;CAPEX;;н/д;;млрд. руб.;;;-;нет данных за период;;;-;нет данных за период
Факт;КБ;42017;42017;Численность;;20.3;;тыс. чел.;;;-;нет данных за период;down;green;3.3%;к плану
Факт;КБ;12018;12018;Численность;;20.7;;тыс. чел.;up;red;1%;к 2017г.;down;green;2.4%;к плану
Факт;КБ;42017;42017;Категории расходов;Персонал;36.4;-;;;;;;;;;
Факт;КБ;42017;42017;Категории расходов;Недвижимость;3.2;-;;;;;;;;;
Факт;КБ;42017;42017;Категории расходов;ИТ;0.8;-;;;;;;;;;
Факт;КБ;42017;42017;Категории расходов;Бизнес;0.6;-;;;;;;;;;
Факт;КБ;42017;42017;Категории расходов;Налоги;0.4;-;;;;;;;;;
Факт;КБ;42017;42017;Категории расходов;Прочее;1.5;-;;;;;;;;;
Факт;КБ;12018;12018;Категории расходов;Персонал;9.8;+12%;;;;;;;;;
Факт;КБ;12018;12018;Категории расходов;Недвижимость;0.9;+3%;;;;;;;;;
Факт;КБ;12018;12018;Категории расходов;ИТ;0.1;+61%;;;;;;;;;
Факт;КБ;12018;12018;Категории расходов;Бизнес;0.1;+25%;;;;;;;;;
Факт;КБ;12018;12018;Категории расходов;Налоги;0.1;+1%;;;;;;;;;
Факт;КБ;12018;12018;Категории расходов;Прочее;0.1;+57%;;;;;;;;;
Факт;КБ;12018;12018;ФОКУС;Сокращение расходов на недвижимость;-3;;;;;;;;;;%
Факт;КБ;12018;12018;ФОКУС;Экономия от PUSH-уведомлений;600;;млн. руб.;;;;;;;;
Факт;КБ;12018;12018;ФОКУС;Рост заездов ЦУНДО и сохранение парка УС;+17;;;;;;;;;;%
Факт;КБ;12018;12018;ФОКУС;Рост расходы на персонал;+5;;;;;;;;;;%
Факт;КБ;12018;12018;ФОКУС;Выполнение КПЭ по ограничению оплаты труда;2;;блока;;;;;;;;
Факт;КБ;42017;42017;ФОКУС;Сокращение расходов на недвижимость;н/д;;;;;;;;;;
Факт;КБ;42017;42017;ФОКУС;Экономия от PUSH-уведомлений;н/д;;;;;;;;;;
Факт;КБ;42017;42017;ФОКУС;Рост заездов ЦУНДО и сохранение парка УС;н/д;;;;;;;;;;
Факт;КБ;42017;42017;ФОКУС;Рост расходы на персонал;н/д;;;;;;;;;;
Факт;КБ;42017;42017;ФОКУС;Выполнение КПЭ по ограничению оплаты труда;н/д;;;;;;;;;;
План;все;42017;42017;CIR;;34.9;;%;;;-;нет данных за период;;;-;
План;все;12018;12018;CIR;;36.1;;%;down;green;3.1%;к 2017г.;;;-;
План;все;42017;42017;OPEX;;661.1;;млрд. руб.;;;-;нет данных за период;;;-;нет данных за период
План;все;12018;12018;OPEX;;166.4;;млрд. руб.;;;-;;;;-;
План;все;42017;42017;CAPEX;;167.3;;млрд. руб.;;;-;нет данных за период;;;-;
План;все;12018;12018;CAPEX;;38.1;;млрд. руб.;down;green;16.6%;;;;-;
План;все;42017;42017;Численность;;243;;тыс. чел.;;;-;нет данных за период;;;-;
План;все;12018;12018;Численность;;240.4;;тыс. чел.;down;green;4.1%;;;;-;
План;все;42017;42017;Категории расходов;Персонал;326;-0.6%;;;;;;;;;
План;все;42017;42017;Категории расходов;Недвижимость;43.6;+20.7%;;;;;;;;;
План;все;42017;42017;Категории расходов;ИТ;37;+73.1%;;;;;;;;;
План;все;42017;42017;Категории расходов;Бизнес;28.1;+14.6%;;;;;;;;;
План;все;42017;42017;Категории расходов;Налоги;27;+0.3%;;;;;;;;;
План;все;42017;42017;Категории расходов;Прочее;98.6;-54.7%;;;;;;;;;
План;все;12018;12018;Категории расходов;Персонал;84.5;+0.2%;;;;;;;;;
План;все;12018;12018;Категории расходов;Недвижимость;12.3;-9%;;;;;;;;;
План;все;12018;12018;Категории расходов;ИТ;12.5;-16.5%;;;;;;;;;
План;все;12018;12018;Категории расходов;Бизнес;5.1;-0.8%;;;;;;;;;
План;все;12018;12018;Категории расходов;Налоги;4.3;-13.1%;;;;;;;;;
План;все;12018;12018;Категории расходов;Прочее;11.1;-46.1%;;;;;;;;;
План;все;12018;12018;ФОКУС;Сокращение расходов на недвижимость;-3;;;;;;;;;;%
План;все;12018;12018;ФОКУС;Экономия от PUSH-уведомлений;600;;млн. руб.;;;;;;;;
План;все;12018;12018;ФОКУС;Рост заездов ЦУНДО и сохранение парка УС;+17;;;;;;;;;;%
План;все;12018;12018;ФОКУС;Рост расходы на персонал;+5;;;;;;;;;;%
План;все;12018;12018;ФОКУС;Выполнение КПЭ по ограничению оплаты труда;2;;блока;;;;;;;;
План;все;42017;42017;ФОКУС;Сокращение расходов на недвижимость;н/д;;;;;;;;;;
План;все;42017;42017;ФОКУС;Экономия от PUSH-уведомлений;н/д;;;;;;;;;;
План;все;42017;42017;ФОКУС;Рост заездов ЦУНДО и сохранение парка УС;н/д;;;;;;;;;;
План;все;42017;42017;ФОКУС;Рост расходы на персонал;н/д;;;;;;;;;;
План;все;42017;42017;ФОКУС;Выполнение КПЭ по ограничению оплаты труда;н/д;;;;;;;;;;
План;КБ;42017;42017;CIR;;н/д;;;;;-;нет данных за период;;;-;
План;КБ;12018;12018;CIR;;25.9;;%;;;-;нет данных за период;;;-;
План;КБ;42017;42017;OPEX;;39.1;;млрд. руб.;;;-;нет данных за период;;;-;
План;КБ;12018;12018;OPEX;;11.6;;млрд. руб.;up;red;17%;к номин.;;;-;нет данных за период
План;КБ;42017;42017;CAPEX;;н/д;;;;;-;нет данных за период;;;-;
План;КБ;12018;12018;CAPEX;;н/д;;;;;-;нет данных за период;;;-;
План;КБ;42017;42017;Численность;;20.9;;тыс. чел.;;;-;нет данных за период;;;-;
