pfp;block;year;quart;screen;tile;category;fact;plan;fact_prev;mera;color1;proc1;text1;color2;proc2;text2;color3;color4;val4;
Факт;все;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Бизнес функция;н/д;Сумма в бублике;;;;;;;;;;;;
Факт;все;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Обеспечивающая функция;н/д;;;;;;;;;;;;;
Факт;все;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Корпоративный центр;н/д;;;;;;;;;;;;;
Факт;все;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Дочерние общества;н/д;;;;;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Бизнес функция;74.5;;;;;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Обеспечивающая функция;32.3;;;;;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Корпоративный центр;14.3;;;;;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Дочерние общества;31.9;;;;;;;;;;;;;
Факт;КБ;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Бизнес функция;н/д;;;;;;;;;;;;;
Факт;КБ;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Обеспечивающая функция;н/д;;;;;;;;;;;;;
Факт;КБ;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Корпоративный центр;н/д;;;;;;;;;;;;;
Факт;КБ;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Дочерние общества;н/д;;;;;;;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Бизнес функция;74.5;;;;;;;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Обеспечивающая функция;32.3;;;;;;;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Корпоративный центр;14.3;;;;;;;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Дочерние общества;31.9;;;;;;;;;;;;;
План;;;;;;;;;;;;;;;;;;;;
Прогноз;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
