pfp;block;year;quart;tile;category;fact;plan;mera;color1;proc1;text1;color2;proc2;text2;
Факт;все;12018;12018;График OPEX;ПАО;121.2;;млрд. руб.;;;;;;;
Факт;все;12018;12018;График OPEX;ДЗО;20.9;;млрд. руб.;;;;;;;
Факт;все;12018;12018;График OPEX;ЦБ;0.4;;млрд. руб.;;;;;;;
Факт;все;12018;12018;График OPEX;Прочее;10.6;;млрд. руб.;;;;;;;
Факт;все;12018;12018;График CAPEX;Бизнес расходы;2.3;;млрд. руб.;;;;;;;
Факт;все;12018;12018;График CAPEX;ИТ;7.4;;млрд. руб.;;;;;;;
Факт;все;12018;12018;График CAPEX;Недвижимость;6.5;;млрд. руб.;;;;;;;
Факт;все;12018;12018;График CAPEX;Прочее;0.4;;млрд. руб.;;;;;;;
Факт;все;12018;12018;График CAPEX;Транспорт;2.5;;млрд. руб.;;;;;;;
Факт;все;42018;42018;График OPEX;ПАО;555.5;;млрд. руб.;;;;;;;
Факт;все;42018;42018;График OPEX;ДЗО;89.8;;млрд. руб.;;;;;;;
Факт;все;42018;42018;График OPEX;ЦБ;2.9;;млрд. руб.;;;;;;;
Факт;все;42018;42018;График OPEX;Прочее;43.9;;млрд. руб.;;;;;;;
Факт;все;42018;42018;График CAPEX;Бизнес расходы;18.6;;млрд. руб.;;;;;;;
Факт;все;42018;42018;График CAPEX;ИТ;63.5;;млрд. руб.;;;;;;;
Факт;все;42018;42018;График CAPEX;Недвижимость;56.1;;млрд. руб.;;;;;;;
Факт;все;42018;42018;График CAPEX;Прочее;10.3;;млрд. руб.;;;;;;;
Факт;все;42018;42018;График CAPEX;Транспорт;3.9;;млрд. руб.;;;;;;;
Факт;КБ;12018;12018;График OPEX;ПАО;11.1;;млрд. руб.;;;;;;;
Факт;КБ;12018;12018;График OPEX;ДЗО;1.2;;млрд. руб.;;;;;;;
Факт;КБ;12018;12018;График OPEX;ЦБ;0;;млрд. руб.;;;;;;;
Факт;КБ;12018;12018;График OPEX;Прочее;0;;млрд. руб.;;;;;;;
Факт;КБ;12018;12018;График CAPEX;Бизнес расходы;0;;млрд. руб.;;;;;;;
Факт;КБ;12018;12018;График CAPEX;ИТ;0;;млрд. руб.;;;;;;;
Факт;КБ;12018;12018;График CAPEX;Недвижимость;0;;млрд. руб.;;;;;;;
Факт;КБ;12018;12018;График CAPEX;Прочее;0;;млрд. руб.;;;;;;;
Факт;КБ;12018;12018;График CAPEX;Транспорт;0;;млрд. руб.;;;;;;;
Факт;КБ;42018;42018;График OPEX;ПАО;46.7;;млрд. руб.;;;;;;;
Факт;КБ;42018;42018;График OPEX;ДЗО;4.25;;млрд. руб.;;;;;;;
Факт;КБ;42018;42018;График OPEX;ЦБ;0;;млрд. руб.;;;;;;;
Факт;КБ;42018;42018;График OPEX;Прочее;0;;млрд. руб.;;;;;;;
Факт;КБ;42018;42018;График CAPEX;Бизнес расходы;0;;млрд. руб.;;;;;;;
Факт;КБ;42018;42018;График CAPEX;ИТ;0;;млрд. руб.;;;;;;;
Факт;КБ;42018;42018;График CAPEX;Недвижимость;0;;млрд. руб.;;;;;;;
Факт;КБ;42018;42018;График CAPEX;Прочее;0;;млрд. руб.;;;;;;;
Факт;КБ;42018;42018;График CAPEX;Транспорт;0;;млрд. руб.;;;;;;;
План;все;12018;12018;График OPEX;ПАО;121.2;;млрд. руб.;;;;;;;
План;все;12018;12018;График OPEX;ДЗО;20.9;;млрд. руб.;;;;;;;
План;все;12018;12018;График OPEX;ЦБ;0.4;;млрд. руб.;;;;;;;
План;все;12018;12018;График OPEX;Прочее;10.6;;млрд. руб.;;;;;;;
План;все;12018;12018;График CAPEX;Бизнес расходы;2.3;;млрд. руб.;;;;;;;
План;все;12018;12018;График CAPEX;ИТ;7.4;;млрд. руб.;;;;;;;
План;все;12018;12018;График CAPEX;Недвижимость;6.5;;млрд. руб.;;;;;;;
План;все;12018;12018;График CAPEX;Прочее;0.4;;млрд. руб.;;;;;;;
План;все;12018;12018;График CAPEX;Транспорт;2.5;;млрд. руб.;;;;;;;
План;все;42018;42018;График OPEX;ПАО;555.5;;млрд. руб.;;;;;;;
План;все;42018;42018;График OPEX;ДЗО;89.8;;млрд. руб.;;;;;;;
План;все;42018;42018;График OPEX;ЦБ;2.9;;млрд. руб.;;;;;;;
План;все;42018;42018;График OPEX;Прочее;43.9;;млрд. руб.;;;;;;;
План;все;42018;42018;График CAPEX;Бизнес расходы;18.6;;млрд. руб.;;;;;;;
План;все;42018;42018;График CAPEX;ИТ;63.5;;млрд. руб.;;;;;;;
План;все;42018;42018;График CAPEX;Недвижимость;56.1;;млрд. руб.;;;;;;;
План;все;42018;42018;График CAPEX;Прочее;10.3;;млрд. руб.;;;;;;;
План;все;42018;42018;График CAPEX;Транспорт;3.9;;млрд. руб.;;;;;;;
План;КБ;12018;12018;График OPEX;ПАО;11.1;;млрд. руб.;;;;;;;
План;КБ;12018;12018;График OPEX;ДЗО;1.2;;млрд. руб.;;;;;;;
План;КБ;12018;12018;График OPEX;ЦБ;0;;млрд. руб.;;;;;;;
План;КБ;12018;12018;График OPEX;Прочее;0;;млрд. руб.;;;;;;;
План;КБ;12018;12018;График CAPEX;Бизнес расходы;0;;млрд. руб.;;;;;;;
План;КБ;12018;12018;График CAPEX;ИТ;0;;млрд. руб.;;;;;;;
План;КБ;12018;12018;График CAPEX;Недвижимость;0;;млрд. руб.;;;;;;;
План;КБ;12018;12018;График CAPEX;Прочее;0;;млрд. руб.;;;;;;;
План;КБ;12018;12018;График CAPEX;Транспорт;0;;млрд. руб.;;;;;;;
