screen;pfp;block;year;quart;tile;category;fact;plan;fact_prev;mera;color1;proc1;text1;color2;proc2;text2;color3;color4;val4;
плитка 2 OPEX;Факт;все;12018;12018;Динамика OPEX;2015;598;;;млрд. руб;;;;;;;;;;
плитка 2 OPEX;Факт;все;12018;12018;Динамика OPEX;2016;655;;;млрд. руб;;;;;;;;;;
плитка 2 OPEX;Факт;все;12018;12018;Динамика OPEX;2017;669;;;млрд. руб;;;;;;;;;;
плитка 2 OPEX;Факт;все;12018;12018;Динамика OPEX;2018;705;;;млрд. руб;;;;;;;;;;
плитка 2 OPEX;Факт;все;12018;12018;Динамика OPEX;2019;705;;;млрд. руб;;;;;;;;;;
плитка 2 OPEX;Факт;все;12018;12018;Динамика OPEX;2020;711;;;млрд. руб;;;;;;;;;;
плитка 2 OPEX;Факт;все;12018;12018;Динамика OPEX (vs инфляция);2015;3.3;12.9;;%;;;;;;;;;;
плитка 2 OPEX;Факт;все;12018;12018;Динамика OPEX (vs инфляция);2016;9.5;5.4;;%;;;;;;;;;;
плитка 2 OPEX;Факт;все;12018;12018;Динамика OPEX (vs инфляция);2017;2.1;2.5;;%;;;;;;;;;;
плитка 2 OPEX;Факт;все;12018;12018;Динамика OPEX (vs инфляция);2018;5.4;4.0;;%;;;;;;;;;;
плитка 2 OPEX;Факт;все;12018;12018;Динамика OPEX (vs инфляция);2019;-0.1;4.0;;%;;;;;;;;;;
плитка 2 OPEX;Факт;все;12018;12018;Динамика OPEX (vs инфляция);2020;0.9;4.0;;%;;;;;;;;;;
;Факт;все;42018;42018;Динамика OPEX;2015;598;;;млрд. руб;;;;;;;;;;
;Факт;все;42018;42018;Динамика OPEX;2016;655;;;млрд. руб;;;;;;;;;;
;Факт;все;42018;42018;Динамика OPEX;2017;669;;;млрд. руб;;;;;;;;;;
;Факт;все;42018;42018;Динамика OPEX;2018;705;;;млрд. руб;;;;;;;;;;
;Факт;все;42018;42018;Динамика OPEX;2019;705;;;млрд. руб;;;;;;;;;;
;Факт;все;42018;42018;Динамика OPEX;2020;711;;;млрд. руб;;;;;;;;;;
;Факт;все;42018;42018;Динамика OPEX (vs инфляция);2015;3.3;12.9;;%;;;;;;;;;;
;Факт;все;42018;42018;Динамика OPEX (vs инфляция);2016;9.5;5.4;;%;;;;;;;;;;
