pfp;block;year;quart;screen;tile;category;fact;plan;fact_prev;mera;color1;proc1;text1;color2;proc2;text2;color3;color4;val4;
Факт;все;12018;12018;плитка 2 OPEX;Основные факторы;План 2018;100;129.8;129.8;млрд. руб;#dfdfdf;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Основные факторы;Повышение<br>начисления резервов<br>по обязательтвам;129.8;127.4;-2.1;млрд. руб;#61DB96;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Основные факторы;Перенос сроков<br>оплаты АХР;127.4;121.0;-6.3;млрд. руб;#61DB96;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Основные факторы;Недоосвоение<br>Проектного лимита;121.0;121.2;+0.2;млрд. руб;#6EC7F7;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Основные факторы;Факт 2018;100;121.2;-8.6;млрд. руб;#dfdfdf;;;;;;;;;
Факт;все;42018;42018;плитка 2 OPEX;Основные факторы;Прогноз 2018;100;129.8;129.8;млрд. руб;#dfdfdf;;;;;;;;;
Факт;все;42018;42018;плитка 2 OPEX;Основные факторы;Повышение<br>начисления резервов<br>по обязательтвам;129.8;127.4;-2.1;млрд. руб;#61DB96;;;;;;;;;
Факт;все;42018;42018;плитка 2 OPEX;Основные факторы;Перенос сроков<br>оплаты АХР;127.4;121.0;-6.3;млрд. руб;#61DB96;;;;;;;;;
Факт;все;42018;42018;плитка 2 OPEX;Основные факторы;Недоосвоение<br>Проектного лимита;121.0;121.2;+0.2;млрд. руб;#6EC7F7;;;;;;;;;
Факт;все;42018;42018;плитка 2 OPEX;Основные факторы;Факт 2017;100;121.2;-8.6;млрд. руб;#dfdfdf;;;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Основные факторы;Прямые расходы;0;11.1;11.1;млрд. руб;#dfdfdf;;;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Основные факторы;Услуги Бизнес блокам;11.1;12.2;+1.1;млрд. руб;#6EC7F7;;;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Основные факторы;Аллокация;12.2;12.0;-0.2;млрд. руб;#61DB96;;;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Основные факторы;Дочерние общества;12.0;23.9;+11.9;млрд. руб;#6EC7F7;;;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Основные факторы;Полные расходы;0;23.9;23.9;млрд. руб;#dfdfdf;;;;;;;;;
Факт;КБ;42018;42018;плитка 2 OPEX;Основные факторы;Прямые расходы;0;11.1;11.1;млрд. руб;#dfdfdf;;;;;;;;;
Факт;КБ;42018;42018;плитка 2 OPEX;Основные факторы;Услуги Бизнес блокам;11.1;12.2;+1.1;млрд. руб;#6EC7F7;;;;;;;;;
Факт;КБ;42018;42018;плитка 2 OPEX;Основные факторы;Аллокация;12.2;12.0;-0.2;млрд. руб;#61DB96;;;;;;;;;
Факт;КБ;42018;42018;плитка 2 OPEX;Основные факторы;Дочерние общества;12.0;23.9;+11.9;млрд. руб;#6EC7F7;;;;;;;;;
Факт;КБ;42018;42018;плитка 2 OPEX;Основные факторы;Полные расходы;0;23.9;23.9;млрд. руб;#dfdfdf;;;;;;;;;
План;все;12018;12018;плитка 2 OPEX;Основные факторы;План 2018;100;129.8;129.8;млрд. руб;#dfdfdf;;;;;;;;;
План;все;12018;12018;плитка 2 OPEX;Основные факторы;Повышение<br>начисления резервов<br>по обязательтвам;129.8;127.4;-2.1;млрд. руб;#61DB96;;;;;;;;;
План;все;12018;12018;плитка 2 OPEX;Основные факторы;Перенос сроков<br>оплаты АХР;127.4;121.0;-6.3;млрд. руб;#61DB96;;;;;;;;;
План;все;12018;12018;плитка 2 OPEX;Основные факторы;Недоосвоение<br>Проектного лимита;121.0;121.2;+0.2;млрд. руб;#6EC7F7;;;;;;;;;
