pfp;block;year;quart;screen;tile;quart;block;category;fact;plan;fact_prev;mera;color1;proc1;text1;color2;proc2;text2;color3;color4;val4;isParent;addClass
Факт;Все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;42017;Все;Прямые расходы;174.7;+19.1%;н/д;млрд. руб;white;;;white;;;;;;parent;
Факт;Все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;42017;Все;Персонал ;92.5;+12.9%;н/д;млрд. руб;white;;;white;;;;;;child;staff_click
Факт;Все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;42017;Все;Недвижимость;15.9;+42.5%;н/д;млрд. руб;white;;;white;;;;;;child;prop_click
Факт;Все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;42017;Все;ИТ;23.9;+111.8%;н/д;млрд. руб;white;;;white;;;;;;child;
Факт;Все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;42017;Все;Бизнес-расходы;13.2;+50.0%;н/д;млрд. руб;white;;;white;;;;;;child;
Факт;Все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;42017;Все;Налоги;11.0;+14.2%;н/д;млрд. руб;white;;;white;;;;;;child;
Факт;Все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;42017;Все;Благотворительность;3.0;+49.9%;н/д;млрд. руб;white;;;white;;;;;;child;
Факт;Все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;42017;Все;Транспорт;1.8;+177.8%;н/д;млрд. руб;white;;;white;;;;;;child;
Факт;Все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;42017;Все;Маркетинг;3.4;+4.5%;н/д;млрд. руб;white;;;white;;;;;;child;
Факт;Все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;42017;Все;Прочее;10.0;-44.6%;н/д;млрд. руб;white;;;white;;;;;;child;
Факт;Все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;42017;Все;Аллокация;-;-;-;млрд. руб;white;;;white;;;;;;parent;allokaciya_click
Факт;Все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;42017;Все;ДЗО;22.1;-2.6%;н/д;млрд. руб;white;;;white;;;;;;parent;
Факт;Все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;12018;Все;Прямые расходы;121.2;-6.7%;+6.7%;млрд. руб;white;;;white;;;;;;parent;
Факт;Все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;12018;Все;Персонал ;84.7;+0.2%;+10.3%;млрд. руб;white;;;white;;;;;;child;staff_click
Факт;Все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;12018;Все;Недвижимость;11.2;-9%;-1.9%;млрд. руб;white;;;white;;;;;;child;prop_click
Факт;Все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;12018;Все;ИТ;10.4;-16.5%;+0.9%;млрд. руб;white;;;white;;;;;;child;
Факт;Все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;12018;Все;Бизнес-расходы;5.1;-0.8%;+7.1%;млрд. руб;white;;;white;;;;;;child;
Факт;Все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;12018;Все;Налоги;3.7;13.1%;-1.5%;млрд. руб;white;;;white;;;;;;child;
Факт;Все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;12018;Все;Благотворительность;0.9;-31.2%;+53.9%;млрд. руб;white;;;white;;;;;;child;
Факт;Все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;12018;Все;Транспорт;1.0;-6.9%;-4.0%;млрд. руб;white;;;white;;;;;;child;
Факт;Все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;12018;Все;Маркетинг;0.5;-35.7%;+41.4%;млрд. руб;white;;;white;;;;;;child;
Факт;Все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;12018;Все;Прочее;3.7;-55.3%;-19.4%;млрд. руб;white;;;white;;;;;;child;
Факт;Все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;12018;Все;Аллокация;-;-;-;млрд. руб;white;;;white;;;;;;parent;allokaciya_click
Факт;Все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;12018;Все;ДЗО;20.9;-9.4%;+2.8%;млрд. руб;white;;;white;;;;;;parent;
