pfp;block;year;quart;screen;tile;category;fact;plan;fact_prev;mera;color1;proc1;text1;color2;proc2;text2;color3;color4;val4;
Факт;все;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Бизнес функция;74.5;153;;;;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Обеспечивающая функция;32.3;;;;;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Корпоративный центр;14.3;;;;;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Дочерние общества;31.9;;;;;;;;;;;;;
Факт;все;42018;42018;плитка 2 OPEX;Структура OPEX по функциям;Бизнес функция;78.5;164.4;;;;;;;;;;;;
Факт;все;42018;42018;плитка 2 OPEX;Структура OPEX по функциям;Обеспечивающая функция;37.0;;;;;;;;;;;;;
Факт;все;42018;42018;плитка 2 OPEX;Структура OPEX по функциям;Корпоративный центр;12.3;;;;;;;;;;;;;
Факт;все;42018;42018;плитка 2 OPEX;Структура OPEX по функциям;Дочерние общества;36.6;;;;;;;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Бизнес функция;74.5;153;;;;;;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Обеспечивающая функция;32.3;;;;;;;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Корпоративный центр;14.3;;;;;;;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Дочерние общества;31.9;;;;;;;;;;;;;
Факт;КБ;42018;42018;плитка 2 OPEX;Структура OPEX по функциям;Бизнес функция;78.5;164.4;;;;;;;;;;;;
Факт;КБ;42018;42018;плитка 2 OPEX;Структура OPEX по функциям;Обеспечивающая функция;37.0;;;;;;;;;;;;;
Факт;КБ;42018;42018;плитка 2 OPEX;Структура OPEX по функциям;Корпоративный центр;12.3;;;;;;;;;;;;;
Факт;КБ;42018;42018;плитка 2 OPEX;Структура OPEX по функциям;Дочерние общества;36.6;;;;;;;;;;;;;
План;все;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Бизнес функция;78.5;164.4;;;;;;;;;;;;
План;все;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Обеспечивающая функция;37.0;;;;;;;;;;;;;
План;все;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Корпоративный центр;12.3;;;;;;;;;;;;;
План;все;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Дочерние общества;36.6;;;;;;;;;;;;;
План;все;42018;42018;плитка 2 OPEX;Структура OPEX по функциям;Бизнес функция;78.5;164.4;;;;;;;;;;;;
План;все;42018;42018;плитка 2 OPEX;Структура OPEX по функциям;Обеспечивающая функция;37.0;;;;;;;;;;;;;
План;все;42018;42018;плитка 2 OPEX;Структура OPEX по функциям;Корпоративный центр;12.3;;;;;;;;;;;;;
План;все;42018;42018;плитка 2 OPEX;Структура OPEX по функциям;Дочерние общества;36.6;;;;;;;;;;;;;
План;КБ;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Бизнес функция;78.5;164.4;;;;;;;;;;;;
План;КБ;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Обеспечивающая функция;37.0;;;;;;;;;;;;;
План;КБ;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Корпоративный центр;12.3;;;;;;;;;;;;;
План;КБ;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Дочерние общества;36.6;;;;;;;;;;;;;
План;КБ;42018;42018;плитка 2 OPEX;Структура OPEX по функциям;Бизнес функция;78.5;164.4;;;;;;;;;;;;
План;КБ;42018;42018;плитка 2 OPEX;Структура OPEX по функциям;Обеспечивающая функция;37.0;;;;;;;;;;;;;
План;КБ;42018;42018;плитка 2 OPEX;Структура OPEX по функциям;Корпоративный центр;12.3;;;;;;;;;;;;;
План;КБ;42018;42018;плитка 2 OPEX;Структура OPEX по функциям;Дочерние общества;36.6;;;;;;;;;;;;;
