pfp;block;year;quart;tile;category;data1;data2;data3;mera;arrow1;color1;proc1;text1;arrow2;color2;proc2;text2;isParent;addClass
Факт;все;12018;12018;Показатели;Соблюдение<br>лимита на оплату<br>труда по Блокам;;;;;;;;;;;;;parent;
Факт;все;12018;12018;Показатели;Среднемес. норм. доход<br>на 1 сотрудника;76.2;;;тыс. руб;;;;;;;;;parent;
Факт;все;12018;12018;Показатели;Средний разряд<br>Москва;9.1;;;;;;;;;;;;parent;
Факт;все;12018;12018;Показатели;Средний разряд<br>Регионы;6.4;;;;;;;;;;;;parent;
Факт;все;12018;12018;Показатели;Фактическая численность;243;;;тыс. чел;;;;;;;;;parent;
Факт;все;12018;12018;График соблюдение лимита;;2;16;;;;;;;;;;;parent;
Факт;все;12018;12018;КР на персонал;Персонал;84.7;76.8;+10%;;;;;;;;;;parent;
Факт;все;12018;12018;КР на персонал;Расходы на персонал;81.7;75.2;+8.7%;;;;;;;;;;parent;
Факт;все;12018;12018;КР на персонал;Зарплата и премия;44.8;43.6;+2.7%;;;;;;;;;;parent;
Факт;все;12018;12018;КР на персонал;Налоги на зарплату;18.4;17.1;+7.3%;;;;;;;;;;parent;
Факт;все;12018;12018;КР на персонал;Резервы на вознаграждения за год;8.9;7.2;+23.9%;;;;;;;;;;parent;
Факт;все;12018;12018;КР на персонал;Долгосрочные обязательства Risk-takers;2.0;-;н/д;;;;;;;;;;parent;
Факт;все;12018;12018;КР на персонал;Резервы на квартальное премирование;7.7;7.3;+5.5%;;;;;;;;;;parent;
Факт;все;12018;12018;КР на персонал;Расходы социального характера;3.0;1.7;+81.1%;;;;;;;;;;parent;
Факт;все;12018;12018;КР на персонал;Выплаты при увольнении сотрудников;0.6;0.6;+3.8%;;;;;;;;;;parent;
Факт;все;12018;12018;КР на персонал;ДМС;0.7;0.7;+7.3%;;;;;;;;;;parent;
Факт;все;12018;12018;КР на персонал;Единовременные премии;0.4;0.2;+70.5%;;;;;;;;;;parent;
Факт;все;12018;12018;КР на персонал;Материальная помощь;0.5;0.2;+189.1%;;;;;;;;;;parent;
Факт;все;12018;12018;КР на персонал;Соц. программа пенсионерам;0.8;-;н/д;;;;;;;;;;parent;
Факт;все;12018;12018;Факторы изменения1;Факт ЗМ 2017;60;76.8;76.8;;;#dfdfdf;;;;;;;parent;
Факт;все;12018;12018;Факторы изменения1;Удорожание ст-ти<br>перс-ла;76.8;78.1;+1.3;;;#6EC7F7;;;;;;;parent;
Факт;все;12018;12018;Факторы изменения1;Налоги на з/п;78.1;79.4;+1.3;;;#6EC7F7;;;;;;;parent;
Факт;все;12018;12018;Факторы изменения1;Индексация;79.4;81.6;+2.2;;;#6EC7F7;;;;;;;parent;
Факт;все;12018;12018;Факторы изменения1;Расходы соц. хар-ра;81.6;82.2;+0.6;;;#6EC7F7;;;;;;;parent;
Факт;все;12018;12018;Факторы изменения1;Сокр. рез-ва на отпуск;82.2;81.7;-0.5;;;#61db96;;;;;;;parent;
Факт;все;12018;12018;Факторы изменения1;Сокр. среднесп. числ.;81.7;80.3;-1.4;;;#61db96;;;;;;;parent;
Факт;все;12018;12018;Факторы изменения1;Календ. и завыш.<br>рез-вы;80.3;84.7;+4.4;;;#6EC7F7;;;;;;;parent;
Факт;все;12018;12018;Факторы изменения1;Факт ЗМ 2018;60;84.7;84.7;;;#dfdfdf;;;;;;;parent;
Факт;все;12018;12018;Факторы изменения2;Факт ЗМ 2017;60;76.8;76.8;;;#dfdfdf;;;;;;;parent;
Факт;все;12018;12018;Факторы изменения2;ЦА;76.8;78.1;+1.3;;;#6EC7F7;;;;;;;parent;
Факт;все;12018;12018;Факторы изменения2;ПЦП;78.1;79.4;+1.3;;;#6EC7F7;;;;;;;parent;
Факт;все;12018;12018;Факторы изменения2;ТБ;79.4;81.6;+2.2;;;#6EC7F7;;;;;;;parent;
Факт;все;12018;12018;Факторы изменения2;ВСП;81.6;82.2;+0.6;;;#6EC7F7;;;;;;;parent;
Факт;все;12018;12018;Факторы изменения2;Факт ЗМ 2018;60;84.7;84.7;;;#dfdfdf;;;;;;;parent;
Факт;все;12018;12018;Динамика расходов на персонал;2016;н/д;н/д;;;;;;;;;;;parent;
Факт;все;12018;12018;Динамика расходов на персонал;2018;324;326;;;;;;;;;;;parent;
Факт;все;12018;12018;Динамика расходов на персонал;2018;85;328;;;;;;;;;;;parent;
Факт;все;12018;12018;Динамика расходов на персонал;2019;н/д;н/д;;;;;;;;;;;parent;
Факт;все;12018;12018;Динамика расходов на персонал;2020;н/д;н/д;;;;;;;;;;;parent;
План;все;12018;12018;Показатели;Соблюдение<br>лимита на оплату<br>труда по Блокам;;;;;;;;;;;;;parent;
План;все;12018;12018;Показатели;Среднемес. норм. доход<br>на 1 сотрудника;76.2;;;тыс. руб;;;;;;;;;parent;
План;все;12018;12018;Показатели;Средний разряд<br>Москва;9.1;;;;;;;;;;;;parent;
План;все;12018;12018;Показатели;Средний разряд<br>Регионы;6.4;;;;;;;;;;;;parent;
