screen;pfp;block;year;quart;tile;category;fact;plan;fact_prev;mera;color1;proc1;text1;color2;proc2;text2;color3;color4;val4;val5;color5
Расходы по недвижимости, уровень 3;Факт;все;12018;12018;Показатели эффективности;Портфель недвижимости;6159;;;тыс. м2;grey;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;42017;42017;Показатели эффективности;Портфель недвижимости;6260;;;тыс. м2;grey;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;12018;12018;Показатели эффективности;Ставка аренды;15.4;;;тыс.руб/м2;grey;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;42017;42017;Показатели эффективности;Ставка аренды;15.4;;;тыс.руб/м2;grey;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;12018;12018;Показатели эффективности;Ставка эксплуатации;1.9;;;тыс.руб/м2;grey;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;42017;42017;Показатели эффективности;Ставка эксплуатации;2.6;;;тыс.руб/м2;grey;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;12018;12018;Показатели эффективности;Исполнение плана выбытия;14%;;;;grey;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;42017;42017;Показатели эффективности;Исполнение плана выбытия;н/д;;;;grey;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;12018;12018;Показатели эффективности;Аренда в Москве;+13;;;тыс. м2;grey;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;42017;42017;Показатели эффективности;Аренда в Москве;н/д;;;тыс. м2;grey;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;12018;12018;Показатели эффективности;Эффект от выбытия;0.2;;;млрд. руб;grey;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;42017;42017;Показатели эффективности;Эффект от выбытия;0.2;;;млрд. руб;grey;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;42017;42017;Показатели эффективности;Основные измнения по объектам;-;;;-;;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;12018;12018;Показатели эффективности;Основные измнения по объектам;-;;;-;;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;42017;42017;Основные факторы изменений;Факт 2016;н/д;н/д;;млрд. руб;grey;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;12018;12018;Основные факторы изменений;Факт 2017;8;11.4;;млрд. руб;grey;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;42017;42017;Основные факторы изменений;Отказ от аренды;н/д;н/д;н/д;млрд. руб;green;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;12018;12018;Основные факторы изменений;Отказ от аренды;11.0;11.4;-3.5%;млрд. руб;green;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;42017;42017;Основные факторы изменений;Выбытие объектов недвижимости;н/д;н/д;н/д;млрд. руб;green;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;12018;12018;Основные факторы изменений;Выбытие объектов недвижимости;11.2;11.4;-1.8%;млрд. руб;green;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;42017;42017;Основные факторы изменений;Рост тарифов на коммунальные услуги;н/д;н/д;н/д;млрд. руб;blue;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;12018;12018;Основные факторы изменений;Рост тарифов на коммунальные услуги;11.4;12.5;0.9%;млрд. руб;blue;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;42017;42017;Основные факторы изменений;Факт 2017;8;11.4;;млрд. руб;grey;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;12018;12018;Основные факторы изменений;Факт 2018;8;11.2;;млрд. руб;grey;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;42017;42017;Категории аренды;Валютные договоры;2.5;;;млрд. руб;green;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;12018;12018;Категории аренды;Валютные договоры;2.6;;;млрд. руб;green;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;42017;42017;Категории аренды;Объекты ЦА;3;;;млрд. руб;red;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;12018;12018;Категории аренды;Объекты ЦА;4.2;;;млрд. руб;red;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;42017;42017;Категории аренды;Переформатированные ВСП;4.2;;;млрд. руб;blue;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;12018;12018;Категории аренды;Переформатированные ВСП;3.4;;;млрд. руб;blue;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;42017;42017;Категории аренды;Коммерческие помещения;9;;;млрд. руб;purple;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;12018;12018;Категории аренды;Коммерческие помещения;8.6;;;млрд. руб;purple;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;42017;42017;Категории аренды;Муниципальные помещения;1;;;млрд. руб;cian;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;12018;12018;Категории аренды;Муниципальные помещения;0.8;;;млрд. руб;cian;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;42017;42017;Категории расходов по недвижимости;Недвижимость;16;н/д;н/д;млрд. руб;grey;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;12018;12018;Категории расходов по недвижимости;Недвижимость;11,2;-0.2;-1.8%;млрд. руб;grey;;;;;;;;;;
;Факт;все;42017;42017;Категории расходов по недвижимости;Амортизация недвижимости;2.5;н/д;н/д;млрд. руб;grey;;;;;;;;;;
;Факт;все;12018;12018;Категории расходов по недвижимости;Амортизация недвижимости;2.5;+0.9;3.6%;млрд. руб;grey;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;42017;42017;Категории расходов по недвижимости;Аренда;6;н/д;н/д;млрд. руб;grey;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;12018;12018;Категории расходов по недвижимости;Аренда;5.2;-0.1;-1.9%;млрд. руб;grey;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;42017;42017;Категории расходов по недвижимости;Эксплуатация;6.6;н/д;н/д;млрд. руб;grey;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;12018;12018;Категории расходов по недвижимости;Эксплуатация;3;-0.1;-4.4%;млрд. руб;grey;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;42017;42017;Категории расходов по недвижимости;Охрана;0.7;н/д;н/д;млрд. руб;grey;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;12018;12018;Категории расходов по недвижимости;Охрана;0.3;-0.04;-9.6%;млрд. руб;grey;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;42017;42017;Категории расходов по недвижимости;Прочие расходы на недвижимость;0.1;н/д;н/д;млрд. руб;grey;;;;;;;;;;
Расходы по недвижимости, уровень 3;Факт;все;12018;12018;Категории расходов по недвижимости;Прочие расходы на недвижимость;0.07;-0.01;-14.5%;млрд. руб;grey;;;;;;;;;;
