pfp;block;year;quart;screen;tile;category;fact;plan;fact_prev;mera;color1;proc1;text1;color2;proc2;text2;color3;color4;val4;isParent;addClass
Факт;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Прямые расходы;544.6;н/д;н/д;млрд. руб;;;;;;;;;;parent;
Факт;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Персонал ;324.1;н/д;н/д;млрд. руб;;;;;;;;;;child;staff_click
Факт;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Недвижимость;52.6;н/д;н/д;млрд. руб;;;;;;;;;;child;prop_click
Факт;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;ИТ;64.0;н/д;н/д;млрд. руб;;;;;;;;;;child;
Факт;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Бизнес-расходы;32.3;н/д;н/д;млрд. руб;;;;;;;;;;child;
Факт;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Налоги;27.0;н/д;н/д;млрд. руб;;;;;;;;;;child;
Факт;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Благотворительность;5.8;н/д;н/д;млрд. руб;;;;;;;;;;child;
Факт;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Транспорт;5.6;н/д;н/д;млрд. руб;;;;;;;;;;child;
Факт;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Маркетинг;5.6;н/д;н/д;млрд. руб;;;;;;;;;;child;
Факт;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Прочее;27.7;н/д;н/д;млрд. руб;;;;;;;;;;child;
Факт;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Аллокация;-;-;-;млрд. руб;;;;;;;;;;parent;allokaciya_click
Факт;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;ДЗО;137.7;н/д;н/д;млрд. руб;;;;;;;;;;parent;
Факт;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Прямые расходы;121.2;174.7;-53.5;млрд. руб;;;;;;;;;;parent;
Факт;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Персонал ;84.7;92.5;-7.8;млрд. руб;;;;;;;;;;child;staff_click
Факт;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Недвижимость;11.2;15.9;-4.7;млрд. руб;;;;;;;;;;child;prop_click
Факт;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;ИТ;10.4;23.9;-13.5;млрд. руб;;;;;;;;;;child;
Факт;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Бизнес-расходы;5.1;13.2;-8.1;млрд. руб;;;;;;;;;;child;
Факт;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Налоги;3.7;11.0;-7.3;млрд. руб;;;;;;;;;;child;
Факт;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Благотворительность;0.9;3.0;-2.1;млрд. руб;;;;;;;;;;child;
Факт;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Транспорт;1.0;1.8;-0.8;млрд. руб;;;;;;;;;;child;
Факт;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Маркетинг;0.5;3.4;-2.9;млрд. руб;;;;;;;;;;child;
Факт;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Прочее;3.1;10.0;-6.9;млрд. руб;;;;;;;;;;child;
Факт;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Аллокация;-;-;-;млрд. руб;;;;;;;;;;parent;allokaciya_click
Факт;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;ДЗО;42.4;37.9;4.5;млрд. руб;;;;;;;;;;parent;
Факт;КБ;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Прямые расходы;43.0;н/д;н/д;млрд. руб;;;;;;;;;;parent;
Факт;КБ;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Бизнес-расходы;0.8;н/д;н/д;млрд. руб;;;;;;;;;;child;staff_click
Факт;КБ;42017;42017;плитка 2 OPEX;Категории расходов OPEX;ИТ;0.6;н/д;н/д;млрд. руб;;;;;;;;;;child;prop_click
Факт;КБ;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Налоги;0.4;н/д;н/д;млрд. руб;;;;;;;;;;child;
Факт;КБ;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Недвижимость;3.2;н/д;н/д;млрд. руб;;;;;;;;;;child;prop_click
Факт;КБ;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Персонал ;36.4;н/д;н/д;млрд. руб;;;;;;;;;;child;staff_click
Факт;КБ;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Прочее;1.5;н/д;н/д;млрд. руб;;;;;;;;;;child;
Факт;КБ;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Аллокация;-;-;-;млрд. руб;;;;;;;;;;parent;allokaciya_click
Факт;КБ;42017;42017;плитка 2 OPEX;Категории расходов OPEX;ДЗО;3.8;н/д;н/д;млрд. руб;;;;;;;;;;parent;
Факт;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Прямые расходы;11.1;12.2;-1.1;млрд. руб;;;;;;;;;;child;
Факт;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Персонал ;9.8;0.3;+9.5;млрд. руб;;;;;;;;;;child;staff_click
Факт;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Бизнес-расходы;0.1;0.3;-0.2;млрд. руб;;;;;;;;;;parent;
Факт;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;ИТ;0.1;-0.2;0.3;млрд. руб;;;;;;;;;;child;
Факт;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Налоги;0.1;1.0;-0.9;млрд. руб;;;;;;;;;;child;
Факт;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Недвижимость;0.9;9.8;-8.9;млрд. руб;;;;;;;;;;child;prop_click
Факт;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Прочее;0.1;0.9;-0.8;млрд. руб;;;;;;;;;;child;
Факт;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Аллокация;23.9;н/д;н/д;млрд. руб;;;;;;;;;;parent;allokaciya_click
Факт;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;ДЗО;1.1;1.4;;млрд. руб;;;;;;;;;;parent;
План;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Прямые расходы;544.6;560.3;-15.6;млрд. руб;;;;;;;;;;child;
План;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Персонал ;324.1;326.0;-1.8;млрд. руб;;;;;;;;;;child;staff_click
План;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Недвижимость;52.6;43.6;+9;млрд. руб;;;;;;;;;;child;prop_click
План;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;ИТ;64.0;37.0;+27;млрд. руб;;;;;;;;;;child;
План;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Бизнес-расходы;32.3;28.1;+4.2;млрд. руб;;;;;;;;;;child;
План;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Налоги;27.0;28.0;-1;млрд. руб;;;;;;;;;;child;
План;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Благотворительность;5.8;5.8;0.0;млрд. руб;;;;;;;;;;child;
План;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Транспорт;5.6;3.5;+2.1;млрд. руб;;;;;;;;;;child;
План;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Маркетинг;5.6;5.8;-0.2;млрд. руб;;;;;;;;;;child;
План;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Прочее;27.7;82.4;-54.7;млрд. руб;;;;;;;;;;child;
План;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;Аллокация;-;-;-;млрд. руб;;;;;;;;;;parent;allokaciya_click
План;все;42017;42017;плитка 2 OPEX;Категории расходов OPEX;ДЗО;137.7;119.4;+18.3;млрд. руб;;;;;;;;;;parent;
План;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Прямые расходы;121.2;129.8;-8.6;млрд. руб;;;;;;;;;;child;
План;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Персонал ;84.7;84.5;+0.2;млрд. руб;;;;;;;;;;child;staff_click
План;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Недвижимость;11.2;12.3;-1.1;млрд. руб;;;;;;;;;;child;prop_click
План;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;ИТ;10.4;12.4;-2;млрд. руб;;;;;;;;;;child;
