pfp;block;year;quart;screen;tile;category;fact;plan;fact_prev;mera;color1;proc1;text1;color2;proc2;text2;color3;color4;val4;
Факт;все;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Бизнес функция;70.7;145.5;;;;;;;;;;;;
Факт;все;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Обеспечивающая функция;30.9;;;;;;;;;;;;;
Факт;все;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Корпоративный центр;12.0;;;;;;;;;;;;;
Факт;все;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Дочерние общества;32.0;;;;;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Бизнес функция;74.5;153;;;;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Обеспечивающая функция;32.3;;;;;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Корпоративный центр;14.3;;;;;;;;;;;;;
Факт;все;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Дочерние общества;31.9;;;;;;;;;;;;;
Факт;КБ;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Бизнес функция;70.7;145.5;;;;;;;;;;;;
Факт;КБ;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Обеспечивающая функция;30.9;;;;;;;;;;;;;
Факт;КБ;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Корпоративный центр;12.0;;;;;;;;;;;;;
Факт;КБ;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Дочерние общества;32.0;;;;;;;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Бизнес функция;74.5;153;;;;;;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Обеспечивающая функция;32.3;;;;;;;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Корпоративный центр;14.3;;;;;;;;;;;;;
Факт;КБ;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Дочерние общества;31.9;;;;;;;;;;;;;
План;все;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Бизнес функция;0;0;;;;;;;;;;;;
План;все;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Обеспечивающая функция;0;;;;;;;;;;;;;
План;все;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Корпоративный центр;0;;;;;;;;;;;;;
План;все;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Дочерние общества;0;;;;;;;;;;;;;
План;все;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Бизнес функция;78.5;164.4;;;;;;;;;;;;
План;все;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Обеспечивающая функция;37.0;;;;;;;;;;;;;
План;все;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Корпоративный центр;12.3;;;;;;;;;;;;;
План;все;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Дочерние общества;36.6;;;;;;;;;;;;;
План;КБ;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Бизнес функция;0;0;;;;;;;;;;;;
План;КБ;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Обеспечивающая функция;0;;;;;;;;;;;;;
План;КБ;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Корпоративный центр;0;;;;;;;;;;;;;
План;КБ;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Дочерние общества;0;;;;;;;;;;;;;
План;КБ;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Бизнес функция;78.5;164.4;;;;;;;;;;;;
План;КБ;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Обеспечивающая функция;37.0;;;;;;;;;;;;;
План;КБ;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Корпоративный центр;12.3;;;;;;;;;;;;;
План;КБ;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Дочерние общества;36.6;;;;;;;;;;;;;
Прогноз;все;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Бизнес функция;0;0;;;;;;;;;;;;
Прогноз;все;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Обеспечивающая функция;0;;;;;;;;;;;;;
Прогноз;все;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Корпоративный центр;0;;;;;;;;;;;;;
Прогноз;все;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Дочерние общества;0;;;;;;;;;;;;;
Прогноз;все;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Бизнес функция;78.5;164.4;;;;;;;;;;;;
Прогноз;все;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Обеспечивающая функция;37.0;;;;;;;;;;;;;
Прогноз;все;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Корпоративный центр;12.3;;;;;;;;;;;;;
Прогноз;все;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Дочерние общества;36.6;;;;;;;;;;;;;
Прогноз;КБ;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Бизнес функция;0;0;;;;;;;;;;;;
Прогноз;КБ;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Обеспечивающая функция;0;;;;;;;;;;;;;
Прогноз;КБ;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Корпоративный центр;0;;;;;;;;;;;;;
Прогноз;КБ;42017;42017;плитка 2 OPEX;Структура OPEX по функциям;Дочерние общества;0;;;;;;;;;;;;;
Прогноз;КБ;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Бизнес функция;78.5;164.4;;;;;;;;;;;;
Прогноз;КБ;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Обеспечивающая функция;37.0;;;;;;;;;;;;;
Прогноз;КБ;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Корпоративный центр;12.3;;;;;;;;;;;;;
Прогноз;КБ;12018;12018;плитка 2 OPEX;Структура OPEX по функциям;Дочерние общества;36.6;;;;;;;;;;;;;
