pfp;block;year;quart;screen;tile;category;fact;plan;fact_prev;mera;color1;proc1;text1;color2;proc2;text2;color3;color4;val4;;;;
Факт;все;42017;42017;Численность;Динамика численности;2015;264;29;282;;;;;;;;;;;;;;
Факт;все;42017;42017;Численность;Динамика численности;2016;254;29;271;;;;;;;;;;;;;;
Факт;все;42017;42017;Численность;Динамика численности;2017;247;28;255;;;;;;;;;;;;;;
Факт;все;42017;42017;Численность;Динамика численности;2018;229;27;236;;;;;;;;;;;;;;
Факт;все;12018;12018;Численность;Динамика численности;2015;264;29;282;;;;;;;;;;;;;;
Факт;все;12018;12018;Численность;Динамика численности;2016;254;29;271;;;;;;;;;;;;;;
Факт;все;12018;12018;Численность;Динамика численности;2017;247;28;255;;;;;;;;;;;;;;
Факт;все;12018;12018;Численность;Динамика численности;2018;229;27;236;;;;;;;;;;;;;;
Факт;КБ;42017;42017;Численность;Динамика численности;2015;1;2;3;;;;;;;;;;;;;;
Факт;КБ;42017;42017;Численность;Динамика численности;2016;2;3;4;;;;;;;;;;;;;;
Факт;КБ;42017;42017;Численность;Динамика численности;2017;3;4;5;;;;;;;;;;;;;;
Факт;КБ;42017;42017;Численность;Динамика численности;2018;4;5;6;;;;;;;;;;;;;;
Факт;КБ;12018;12018;Численность;Динамика численности;2015;5;6;7;;;;;;;;;;;;;;
Факт;КБ;12018;12018;Численность;Динамика численности;2016;6;7;8;;;;;;;;;;;;;;
Факт;КБ;12018;12018;Численность;Динамика численности;2017;7;8;9;;;;;;;;;;;;;;
Факт;КБ;12018;12018;Численность;Динамика численности;2018;8;9;10;;;;;;;;;;;;;;
