screen;pfp;block;year;quart;tile;category;fact;plan;fact_prev;mera;;color1;proc1;text1;color2;proc2;text2;color3;color4;val4;val5;color5
плитка 2 OPEX;Факт;все;42017;42017;Средний разряд;Средний разряд;6.68517964676148;0;;%;;red;нет данных;vs 2017;;;;;;;;
плитка 2 OPEX;Факт;все;42017;42017;Ключевые вакансии;Ключевые вакансии;0;0;;%;;red;20;vs 2017;;;;;;;;
плитка 2 OPEX;Факт;все;12018;12018;Ключевые вакансии;Ключевые вакансии;0;0;;%;;red;20;vs 2017;;;;;;;;
плитка 2 OPEX;Факт;все;42017;42017;Текучесть персонала;Текучесть персонала;0;0;;%;;red;;;;;;;;;;
плитка 2 OPEX;Факт;все;12018;12018;Текучесть персонала;Текучесть персонала;0;0;;%;;red;;;;;;;;;;
;Факт;все;12018;12018;Средний разряд;Средний разряд;6.69209717983543;6.69209717983543;;%;;red;0;vs 2017;;;;;;;;
;Факт;все;42017;42017;Укомплектованность персонала;Укомплектованность персонала;97;0;;%;;red;-1;к плану;;;;;;;;
;Факт;все;12018;12018;Укомплектованность персонала;Укомплектованность персонала;96.6;0;;%;;red;-1.4;к плану;;;;;;;;
плитка 2 OPEX;Факт;КБ;42017;42017;Средний разряд;Средний разряд;0;0;;%;;red;нет данных;vs 2017;;;;;;;;
плитка 2 OPEX;Факт;КБ;42017;42017;Ключевые вакансии;Ключевые вакансии;0;0;;%;;red;20;vs 2017;;;;;;;;
плитка 2 OPEX;Факт;КБ;12018;12018;Ключевые вакансии;Ключевые вакансии;0;0;;%;;red;20;vs 2017;;;;;;;;
плитка 2 OPEX;Факт;КБ;42017;42017;Текучесть персонала;Текучесть персонала;0;0;;%;;red;;;;;;;;;;
плитка 2 OPEX;Факт;КБ;12018;12018;Текучесть персонала;Текучесть персонала;0;0;;%;;red;;;;;;;;;;
плитка 2 OPEX;Факт;КБ;12018;12018;Средний разряд;Средний разряд;0;0;;%;;red;0;vs 2017;;;;;;;;
плитка 2 OPEX;Факт;КБ;42017;42017;Укомплектованность персонала;Укомплектованность персонала;97;0;;%;;red;-1;к плану;;;;;;;;
плитка 2 OPEX;Факт;КБ;12018;12018;Укомплектованность персонала;Укомплектованность персонала;96.6;0;;%;;red;-1.4;к плану;;;;;;;;
