pfp;block;year;quart;tile;category;fact;plan;fact_prev;mera;;color1;proc1;text1;color2;proc2;text2;color3;color4;val4;val5;color5
Факт;КБ;42017;42017;Структура численности1;РБ;137938.4523;142204.59;90;;;;;;;;;;;;;
Факт;КБ;42017;42017;Структура численности1;КБ;20247.9849;20874.2112371134;75;;;;;;;;;;;;;
Факт;КБ;42017;42017;Структура численности1;CIB;1741.41;1795.26804123711;60;;;;;;;;;;;;;
Факт;КБ;42017;42017;Структура численности1;SBI;59.499;61.339175257732;50;;;;;;;;;;;;;
Факт;КБ;42017;42017;Структура численности1;УБ;933.4314;962.300412371134;90;;;;;;;;;;;;;
Факт;КБ;42017;42017;Структура численности1;Блок С;43282.7505;44621.3922680412;75;;;;;;;;;;;;;
Факт;КБ;42017;42017;Структура численности1;Блок Т;17314.7832;17850.2919587629;60;;;;;;;;;;;;;
Факт;КБ;42017;42017;Структура численности1;ДРПА;6246.6525;6439.84793814433;50;;;;;;;;;;;;;
Факт;КБ;42017;42017;Структура численности1;Риски;4058.1486;4183.65835051546;90;;;;;;;;;;;;;
Факт;КБ;42017;42017;Структура численности1;Финансы;3898.7091;4019.28773195876;75;;;;;;;;;;;;;
Факт;КБ;12018;12018;Структура численности1;РБ;138886.7;140118.7;60;;;;;;;;;;;;;
Факт;КБ;12018;12018;Структура численности1;КБ;20676.6;21166.5;50;;;;;;;;;;;;;
Факт;КБ;12018;12018;Структура численности1;CIB;1789.56;2227;90;;;;;;;;;;;;;
Факт;КБ;12018;12018;Структура численности1;SBI;58.6;81;75;;;;;;;;;;;;;
Факт;КБ;12018;12018;Структура численности1;УБ;875.2;986;60;;;;;;;;;;;;;
Факт;КБ;12018;12018;Структура численности1;Блок С;40428.06;42639.2;50;;;;;;;;;;;;;
Факт;КБ;12018;12018;Структура численности1;Блок Т;16111.2;18587;90;;;;;;;;;;;;;
Факт;КБ;12018;12018;Структура численности1;ДРПА;5385.1;5876;75;;;;;;;;;;;;;
Факт;КБ;12018;12018;Структура численности1;Риски;4365.43;4725;60;;;;;;;;;;;;;
Факт;КБ;12018;12018;Структура численности1;Финансы;3630.29;3961;50;;;;;;;;;;;;;
Факт;все;42017;42017;Структура численности1;РБ;137938.4523;142204.59;90;;;;;;;;;;;;;
Факт;все;42017;42017;Структура численности1;КБ;20247.9849;20874.2112371134;75;;;;;;;;;;;;;
Факт;все;42017;42017;Структура численности1;CIB;1741.41;1795.26804123711;60;;;;;;;;;;;;;
Факт;все;42017;42017;Структура численности1;SBI;59.499;61.339175257732;50;;;;;;;;;;;;;
Факт;все;42017;42017;Структура численности1;УБ;933.4314;962.300412371134;90;;;;;;;;;;;;;
Факт;все;42017;42017;Структура численности1;Блок С;43282.7505;44621.3922680412;75;;;;;;;;;;;;;
Факт;все;42017;42017;Структура численности1;Блок Т;17314.7832;17850.2919587629;60;;;;;;;;;;;;;
Факт;все;42017;42017;Структура численности1;ДРПА;6246.6525;6439.84793814433;50;;;;;;;;;;;;;
Факт;все;42017;42017;Структура численности1;Риски;4058.1486;4183.65835051546;90;;;;;;;;;;;;;
Факт;все;42017;42017;Структура численности1;Финансы;3898.7091;4019.28773195876;75;;;;;;;;;;;;;
Факт;все;12018;12018;Структура численности1;РБ;138886.7;140118.7;60;;;;;;;;;;;;;
Факт;все;12018;12018;Структура численности1;КБ;20676.6;21166.5;50;;;;;;;;;;;;;
Факт;все;12018;12018;Структура численности1;CIB;1789.56;2227;90;;;;;;;;;;;;;
Факт;все;12018;12018;Структура численности1;SBI;58.6;81;75;;;;;;;;;;;;;
Факт;все;12018;12018;Структура численности1;УБ;875.2;986;60;;;;;;;;;;;;;
Факт;все;12018;12018;Структура численности1;Блок С;40428.06;42639.2;50;;;;;;;;;;;;;
Факт;все;12018;12018;Структура численности1;Блок Т;16111.2;18587;90;;;;;;;;;;;;;
Факт;все;12018;12018;Структура численности1;ДРПА;5385.1;5876;75;;;;;;;;;;;;;
Факт;все;12018;12018;Структура численности1;Риски;4365.43;4725;60;;;;;;;;;;;;;
Факт;все;12018;12018;Структура численности1;Финансы;3630.29;3961;50;;;;;;;;;;;;;
Факт;КБ;42017;42017;Структура численности итого;Итого;235721.8215;243012.187113402;90;;;;;;;;;;;;;
Факт;КБ;12018;12018;Структура численности итого;Итого;232206.74;240367.4;75;;;;;;;;;;;;;
Факт;все;42017;42017;Структура численности итого;Итого;235721.8215;243012.187113402;60;;;;;;;;;;;;;
Факт;все;12018;12018;Структура численности итого;Итого;232206.74;240367.4;50;;;;;;;;;;;;;
Факт;все;42017;42017;Структура численности2;ВСП;137938.4523;142204.59;90;;;;;;;;;;;;;
Факт;все;42017;42017;Структура численности2;ТБ;20247.9849;20874.2112371134;75;;;;;;;;;;;;;
Факт;все;42017;42017;Структура численности2;ПЦП;1741.41;1795.26804123711;60;;;;;;;;;;;;;
Факт;все;42017;42017;Структура численности2;ЦА;59.499;61.339175257732;50;;;;;;;;;;;;;
Факт;все;12018;12018;Структура численности2;ВСП;137938.4523;142204.59;90;;;;;;;;;;;;;
Факт;все;12018;12018;Структура численности2;ТБ;20247.9849;20874.2112371134;75;;;;;;;;;;;;;
Факт;все;12018;12018;Структура численности2;ПЦП;1741.41;1795.26804123711;60;;;;;;;;;;;;;
