pfp;block;year;quart;screen;tile;category;fact;plan;fact_prev;mera;color1;proc1;text1;color2;proc2;text2;color3;color4;val4;
Факт;все;42017;42017;Численность;Структура персонала;До 9 грейда;74.5;150;;;;;;;;;;;;
Факт;все;42017;42017;Численность;Структура персонала;10-13 грейды;32.3;150;;;;;;;;;;;;
Факт;все;42017;42017;Численность;Структура персонала;13-15 грейды;14.3;150;;;;;;;;;;;;
Факт;все;42017;42017;Численность;Структура персонала;Грейды от 16 +;31.9;150;;;;;;;;;;;;
Факт;все;12018;12018;Численность;Структура персонала;До 9 грейда;74.5;140;;;;;;;;;;;;
Факт;все;12018;12018;Численность;Структура персонала;10-13 грейды;32.3;140;;;;;;;;;;;;
Факт;все;12018;12018;Численность;Структура персонала;13-15 грейды;14.3;140;;;;;;;;;;;;
Факт;все;12018;12018;Численность;Структура персонала;Грейды от 16 +;31.9;140;;;;;;;;;;;;
Факт;КБ;42017;42017;Численность;Структура персонала;До 9 грейда;74.5;160;;;;;;;;;;;;
Факт;КБ;42017;42017;Численность;Структура персонала;10-13 грейды;32.3;160;;;;;;;;;;;;
Факт;КБ;42017;42017;Численность;Структура персонала;13-15 грейды;14.3;160;;;;;;;;;;;;
Факт;КБ;42017;42017;Численность;Структура персонала;Грейды от 16 +;31.9;160;;;;;;;;;;;;
Факт;КБ;12018;12018;Численность;Структура персонала;До 9 грейда;74.5;170;;;;;;;;;;;;
Факт;КБ;12018;12018;Численность;Структура персонала;10-13 грейды;32.3;170;;;;;;;;;;;;
Факт;КБ;12018;12018;Численность;Структура персонала;13-15 грейды;14.3;170;;;;;;;;;;;;
Факт;КБ;12018;12018;Численность;Структура персонала;Грейды от 16 +;31.9;170;;;;;;;;;;;;
