pfp;block;year;quart;tile;category;fact;plan;mera;color1;proc1;text1;color2;proc2;text2;
Факт;Все;12018;12018;График OPEX;ПАО;121.2;;млрд. руб.;;;;;;;
Факт;Все;12018;12018;График OPEX;ДЗО;20.9;;млрд. руб.;;;;;;;
Факт;Все;12018;12018;График OPEX;ЦБ;0.4;;млрд. руб.;;;;;;;
Факт;Все;12018;12018;График OPEX;Прочее;10.6;;млрд. руб.;;;;;;;
Факт;Все;12018;12018;График CAPEX;Бизнес расходы;2.3;;млрд. руб.;;;;;;;
Факт;Все;12018;12018;График CAPEX;ИТ;7.4;;млрд. руб.;;;;;;;
Факт;Все;12018;12018;График CAPEX;Недвижимость;6.5;;млрд. руб.;;;;;;;
Факт;Все;12018;12018;График CAPEX;Прочее;0.4;;млрд. руб.;;;;;;;
Факт;Все;12018;12018;График CAPEX;Транспорт;2.5;;млрд. руб.;;;;;;;
Факт;все;42017;42017;График OPEX;ПАО;544.7;;млрд. руб.;;;;;;;
Факт;все;42017;42017;График OPEX;ДЗО;83.4;;млрд. руб.;;;;;;;
Факт;все;42017;42017;График OPEX;ЦБ;1;;млрд. руб.;;;;;;;
Факт;все;42017;42017;График OPEX;Прочее;39.5;;млрд. руб.;;;;;;;
Факт;все;42017;42017;График CAPEX;Бизнес расходы;16.5;;млрд. руб.;;;;;;;
Факт;все;42017;42017;График CAPEX;ИТ;54.8;;млрд. руб.;;;;;;;
Факт;все;42017;42017;График CAPEX;Недвижимость;32.4;;млрд. руб.;;;;;;;
Факт;все;42017;42017;График CAPEX;Прочее;35.9;;млрд. руб.;;;;;;;
Факт;все;42017;42017;График CAPEX;Транспорт;1.1;;млрд. руб.;;;;;;;
Факт;КБ;12018;12018;График OPEX;ПАО;0;;млрд. руб.;;;;;;;
Факт;КБ;12018;12018;График OPEX;ДЗО;0;;млрд. руб.;;;;;;;
Факт;КБ;12018;12018;График OPEX;ЦБ;0;;млрд. руб.;;;;;;;
Факт;КБ;12018;12018;График OPEX;Прочее;0;;млрд. руб.;;;;;;;
Факт;КБ;12018;12018;График CAPEX;Бизнес расходы;0;;млрд. руб.;;;;;;;
Факт;КБ;12018;12018;График CAPEX;ИТ;0;;млрд. руб.;;;;;;;
Факт;КБ;12018;12018;График CAPEX;Недвижимость;0;;млрд. руб.;;;;;;;
Факт;КБ;12018;12018;График CAPEX;Прочее;0;;млрд. руб.;;;;;;;
Факт;КБ;12018;12018;График CAPEX;Транспорт;0;;млрд. руб.;;;;;;;
Факт;КБ;42017;42017;График OPEX;ПАО;0;;млрд. руб.;;;;;;;
Факт;КБ;42017;42017;График OPEX;ДЗО;0;;млрд. руб.;;;;;;;
Факт;КБ;42017;42017;График OPEX;ЦБ;0;;млрд. руб.;;;;;;;
Факт;КБ;42017;42017;График OPEX;Прочее;0;;млрд. руб.;;;;;;;
Факт;КБ;42017;42017;График CAPEX;Бизнес расходы;0;;млрд. руб.;;;;;;;
Факт;КБ;42017;42017;График CAPEX;ИТ;0;;млрд. руб.;;;;;;;
Факт;КБ;42017;42017;График CAPEX;Недвижимость;0;;млрд. руб.;;;;;;;
Факт;КБ;42017;42017;График CAPEX;Прочее;0;;млрд. руб.;;;;;;;
Факт;КБ;42017;42017;График CAPEX;Транспорт;0;;млрд. руб.;;;;;;;
План;Все;12018;12018;График OPEX;ПАО;129.8;;млрд. руб.;;;;;;;
План;Все;12018;12018;График OPEX;ДЗО;23.1;;млрд. руб.;;;;;;;
План;Все;12018;12018;График OPEX;ЦБ;0.6;;млрд. руб.;;;;;;;
План;Все;12018;12018;График OPEX;Прочее;13;;млрд. руб.;;;;;;;
План;Все;12018;12018;График CAPEX;Бизнес расходы;4.6;;млрд. руб.;;;;;;;
План;Все;12018;12018;График CAPEX;ИТ;15.9;;млрд. руб.;;;;;;;
План;Все;12018;12018;График CAPEX;Недвижимость;14.1;;млрд. руб.;;;;;;;
План;Все;12018;12018;График CAPEX;Прочее;2.6;;млрд. руб.;;;;;;;
План;Все;12018;12018;График CAPEX;Транспорт;1;;млрд. руб.;;;;;;;
План;все;42017;42017;График OPEX;ПАО;551.6;;млрд. руб.;;;;;;;
План;все;42017;42017;График OPEX;ДЗО;83.8;;млрд. руб.;;;;;;;
План;все;42017;42017;График OPEX;ЦБ;0.1;;млрд. руб.;;;;;;;
План;все;42017;42017;График OPEX;Прочее;25.7;;млрд. руб.;;;;;;;
План;все;42017;42017;График CAPEX;Бизнес расходы;19.2;;млрд. руб.;;;;;;;
План;все;42017;42017;График CAPEX;ИТ;71.6;;млрд. руб.;;;;;;;
План;все;42017;42017;График CAPEX;Недвижимость;39.8;;млрд. руб.;;;;;;;
План;все;42017;42017;График CAPEX;Прочее;35.7;;млрд. руб.;;;;;;;
План;все;42017;42017;График CAPEX;Транспорт;0.9;;млрд. руб.;;;;;;;
План;КБ;12018;12018;График OPEX;ПАО;0;;млрд. руб.;;;;;;;
План;КБ;12018;12018;График OPEX;ДЗО;0;;млрд. руб.;;;;;;;
План;КБ;12018;12018;График OPEX;ЦБ;0;;млрд. руб.;;;;;;;
План;КБ;12018;12018;График OPEX;Прочее;0;;млрд. руб.;;;;;;;
План;КБ;12018;12018;График CAPEX;Бизнес расходы;0;;млрд. руб.;;;;;;;
План;КБ;12018;12018;График CAPEX;ИТ;0;;млрд. руб.;;;;;;;
План;КБ;12018;12018;График CAPEX;Недвижимость;0;;млрд. руб.;;;;;;;
План;КБ;12018;12018;График CAPEX;Прочее;0;;млрд. руб.;;;;;;;
План;КБ;12018;12018;График CAPEX;Транспорт;0;;млрд. руб.;;;;;;;
