block;quart;tile;category;fact;plan;mera;color1;proc1;text1;color2;proc2;text2
Все;12018;График OPEX;ПАО;121.2;;млрд. руб.;;;;;;
Все;12018;График OPEX;ДЗО;20.9;;млрд. руб.;;;;;;
Все;12018;График OPEX;ЦБ;0.4;;млрд. руб.;;;;;;
Все;12018;График OPEX;Прочее;10.6;;млрд. руб.;;;;;;
Все;12018;График CAPEX;Бизнес расходы;2.3;;млрд. руб.;;;;;;
Все;12018;График CAPEX;ИТ;7.4;;млрд. руб.;;;;;;
Все;12018;График CAPEX;Недвижимость;6.5;;млрд. руб.;;;;;;
Все;12018;График CAPEX;Прочее;0.4;;млрд. руб.;;;;;;
Все;12018;График CAPEX;Транспорт;2.5;;млрд. руб.;;;;;;
Все;42017;График OPEX;ПАО;174.8;;млрд. руб.;;;;;;
Все;42017;График OPEX;ДЗО;22.1;;млрд. руб.;;;;;;
Все;42017;График OPEX;ЦБ;0.4;;млрд. руб.;;;;;;
Все;42017;График OPEX;Прочее;11.6;;млрд. руб.;;;;;;
Все;42017;График CAPEX;Бизнес расходы;4.2;;млрд. руб.;;;;;;
Все;42017;График CAPEX;ИТ;23.2;;млрд. руб.;;;;;;
Все;42017;График CAPEX;Недвижимость;13;;млрд. руб.;;;;;;
Все;42017;График CAPEX;Прочее;4.9;;млрд. руб.;;;;;;
Все;42017;График CAPEX;Транспорт;0.4;;млрд. руб.;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
